"userName","userID","publicReposCount","followersCount","followingCount","subscriptionsCount"
"362750493","20057077","3","0","0","3"
"375670450","11230826","32","3","1","30"
"376746316","20141800","2","0","0","2"
"3792274","19231863","8","2","3","10"
"383747787","3955416","20","1","4","20"
"39mogura","5525235","1","0","0","1"
"3B326","22869314","1","0","0","0"
"3W2W2W","22124140","2","0","0","0"
"3YO","16495157","6","0","1","9"
"3zcs","8222820","17","0","7","17"
"4-FastFoodFinder","23192990","1","0","0","0"
"403882182","23291996","1","0","0","0"
"404minds","10107901","8","0","0","0"
"408657544","5899940","5","0","0","5"
"409070933","18433514","1","0","0","1"
"412212451","20573164","2","0","0","2"
"412750168","5077802","41","0","2","30"
"415876780","20694919","7","2","1","0"
"419JKing","23010163","1","0","0","0"
"425296516","4598035","64","0","2","30"
"429300625","22739317","2","1","5","0"
"4326BasementLions","22203408","1","0","0","0"
"434480761","13740459","3","0","0","3"
"445192015","9495918","3","0","0","2"
"452136390","20575018","11","0","0","11"
"452693688","7382893","21","0","0","21"
"4563599","7487460","6","2","3","9"
"456838","4143749","12","0","2","12"
"456chenxigang","19341376","29","1","0","30"
"471448446","7636279","8","2","20","30"
"4725246","20433778","2","0","0","2"
"48089748z","14791455","27","6","0","27"
"495445757","21967043","3","0","0","0"
"496546144","11089008","6","0","0","5"
"497002131","13702688","7","0","0","7"
"4lejandroRojas","20494355","3","1","0","4"
"4lfant","13089900","4","0","5","6"
"4ndro1d","2945247","7","0","2","7"
"4o4tech","10740428","11","4","9","18"
"4Space","6440181","9","0","0","0"
"4ucl","15842995","10","0","0","10"
"4Viresh","10768023","11","0","1","11"
"501gabe","21166656","4","0","0","0"
"50417","9717825","22","1","0","23"
"50N3T","20029548","2","0","0","2"
"5114122","21073912","2","1","0","0"
"5125","19689771","16","0","0","16"
"514721857","20010261","4","0","0","7"
"51743as","17809803","5","0","0","5"
"52136","11554419","13","0","0","13"
"523499159","10354165","7","0","0","7"
"523931340","13196209","6","0","7","6"
"540871129","11286995","8","0","0","9"
"54wall","15527279","24","7","29","14"
"553527356QQ","20598985","2","0","0","2"
"55wang","3066393","17","3","7","21"
"570468837","7438521","10","3","2","25"
"575833749","8510985","11","1","19","11"
"5790660","8722348","11","0","4","17"
"583453199","18565011","2","0","0","2"
"592357390","20896411","1","1","0","0"
"592713711","15106133","11","2","1","16"
"599079204","10340456","13","0","1","13"
"5adiyah","16658894","47","19","26","30"
"5en","7879614","4","0","0","4"
"5iBDiSEGirls","23292558","1","0","0","0"
"5ibinbin","10348941","11","0","7","11"
"5JSP","23115776","2","0","0","0"
"5seconds","20671625","2","0","0","2"
"6150FTC","13087898","6","0","0","0"
"617203748","15260601","20","0","0","20"
"617218557","9552699","4","1","1","4"
"623860762","8574317","11","0","0","12"
"646634231","21698933","11","0","0","0"
"651807483","19570936","3","0","0","3"
"651juan","10453225","7","0","0","9"
"6520874","1993441","22","1","2","20"
"666j","16386500","17","4","16","19"
"6895mahfuzgit","19584013","5","0","0","5"
"6tail","5828070","6","4","2","6"
"704266213","17900495","4","0","0","3"
"727320580","18729640","1","0","0","4"
"729517723","13030393","6","0","0","6"
"7297Limitless","23284248","1","0","0","0"
"731942771","8850030","40","1","0","30"
"731WannabeeStrange","22403979","1","0","0","0"
"736791050","17521315","8","0","0","8"
"737297447","11386528","48","1","16","30"
"738326776zby","18243595","11","0","3","11"
"743339401","16485777","2","0","0","2"
"7552-taller2-jobify","21197721","3","0","0","0"
"756601501","20161970","1","0","0","1"
"763461297","16873295","5","2","1","5"
"765947965","15795208","16","0","0","16"
"779003","19677449","7","0","0","7"
"77MohKam88","22894450","2","0","0","0"
"782271752","4198691","10","0","10","10"
"784134748","16873072","4","0","0","2"
"785693057","15105476","1","0","0","2"
"78848d676612","14852537","60","15","14","30"
"78wesley","9322930","4","1","6","3"
"790710371","18595034","1","1","2","2"
"7959","19875752","2","0","0","0"
"7ack","7237445","13","1","2","13"
"7etrahedral","17941268","9","1","1","10"
"7ung","13851541","13","2","2","19"
"8088","1026860","30","2","3","30"
"80945540","15050996","6","39","1","6"
"80998062","15043289","18","4","103","21"
"810464826","20635589","21","3","104","21"
"81813780","2297803","9","194","49","17"
"81BlingBling18","18625505","7","1","4","10"
"82dilip","5480410","23","0","8","30"
"835919230","16377953","9","1","10","11"
"836948082","20297358","48","0","5","30"
"84000","19471796","3","0","0","0"
"842895893","15019668","6","0","0","6"
"845629143","5147234","3","0","0","4"
"850759383","15764539","2","0","1","2"
"873764182","11207473","10","1","0","10"
"893193074","20635367","2","0","0","2"
"897903718","8542787","10","0","1","11"
"8bitreid","9111792","12","5","13","14"
"8milegone","20273975","2","0","0","2"
"8run0codev","21027151","2","0","0","0"
"908311595","5260270","30","1","0","30"
"90tianma","20390958","5","0","0","5"
"915Ninja","8103071","4","1","2","6"
"917960559","21994900","4","0","0","0"
"91blacksheep","21277456","4","2","1","0"
"91wangmeng","13831315","13","0","0","12"
"921138129","18607696","6","0","0","7"
"924587628","14814504","22","5","36","22"
"928060115","13461156","2","0","0","2"
"930324291","5546301","16","0","0","16"
"93wanghua","15057787","13","1","27","13"
"972242736","10227296","6","0","1","6"
"983939324","20262161","9","0","0","9"
"993984186","18155441","5","0","0","5"
"995270418L","17432557","5","0","0","5"
"99ridho","7996089","13","8","3","22"
"9mrcookie9","10118423","4","0","0","4"
"9qqqqqqg","20950169","3","0","0","0"
"A-And","6618580","5","17","8","18"
"a-gogo","22154523","2","0","0","0"
"A-Hoernchen","6419853","4","2","1","4"
"a-krawciw","11967679","7","0","0","11"
"a-ortiz","17748810","5","0","0","6"
"a-ross-cohen","843064","17","5","1","27"
"a-savelev","20038967","2","0","0","2"
"A-Team-hackathon","23473077","1","0","0","0"
"a-voyager","12423772","70","78","30","30"
"a09090443","8348169","8","0","0","8"
"a0919376604","6950133","9","0","0","9"
"a0952866367","11289373","18","1","4","24"
